policyid,Country,VehicleType,VehicleUsage,Power,Weight,Colour,VehicleFirstRegistrationYear,VehicleAge,Mark,Model,EngineType,RenewalIndicator,Leasing,Deductible_general,Deductible_glass,premium,suminsured,policy_period_in_years,year
4307,LV,Passenger car,Regular,81,1655,Gaiši peleka,2007,5,TOYOTA,COROLLA,Benzine,1,0,142.29,71.14,302.3,9830,1.002739726,2012
4308,LV,Passenger car,Regular,81,1655,Kiršu,2007,5,TOYOTA,COROLLA,Benzine,1,0,142.29,71.14,266.7,10140,0.824657534,2012
4309,LV,Passenger car,Regular,81,1655,Gaiši peleka,2007,7,TOYOTA,COROLLA,Benzine & Gas,1,0,140,70,260,9040,1,2014
4310,LV,Passenger car,Regular,81,1670,Gaiši peleka,2005,7,TOYOTA,COROLLA,Benzine,1,0,142.29,71.14,85.9,6860,0.545205479,2012
4311,LV,Passenger car,Regular,81,1670,Gaiši peleka,2005,9,TOYOTA,COROLLA,Benzine,1,0,140,70,184,6900,1,2014
4312,LV,Passenger car,Regular,81,1670,Gaiši peleka,2005,8,TOYOTA,COROLLA,Benzine,1,0,142.29,71.14,213.9,7230,1,2013
4313,LV,Passenger car,Regular,81,1670,Gaiši peleka,2005,7,TOYOTA,COROLLA,Benzine,1,0,142.29,71.14,220.2,7510,1,2012
4314,LV,Passenger car,Regular,81,1670,Gaiši peleka,2005,8,TOYOTA,COROLLA,Benzine,1,0,142.29,71.14,213.9,6710,1,2013
4315,LV,Passenger car,Regular,81,1670,Gaiši peleka,2005,7,TOYOTA,COROLLA,Benzine,1,0,142.29,71.14,220.2,7030,1,2012
4316,LV,Passenger car,Regular,77,2180,Bruna,2012,2,VOLKSWAGEN,TOURAN,Diesel,1,1,140,40,289.4,19630,1,2014
4317,LV,Passenger car,Regular,77,2180,Bruna,2012,1,VOLKSWAGEN,TOURAN,Diesel,1,1,142.29,42.69,258.1,21880,0.742465753,2013
4318,LV,Passenger car,Regular,77,2180,Bruna,2012,0,VOLKSWAGEN,TOURAN,Diesel,0,1,140,40,402,21950,1,2012
4319,LV,Passenger car,Regular,77,2180,Peleka,2012,2,VOLKSWAGEN,TOURAN,Diesel,1,0,140,40,246,19240,1,2014
4320,LV,Passenger car,Regular,77,2180,Peleka,2012,1,VOLKSWAGEN,TOURAN,Diesel,1,0,142.29,42.69,294.2,21290,1,2013
4321,LV,Passenger car,Regular,77,2180,Peleka,2012,0,VOLKSWAGEN,TOURAN,Diesel,0,0,142.29,42.69,64.8,26410,0.117808219,2012
4322,LV,Passenger car,Regular,77,2180,Peleka,2012,0,VOLKSWAGEN,TOURAN,Diesel,1,0,142.29,42.69,419.4,26410,1,2012
4323,LV,Passenger car,Regular,77,2180,Peleka,2013,1,VOLKSWAGEN,TOURAN,Diesel,0,1,140,40,355.3,15000,1,2014
4324,LV,Passenger car,Regular,77,2250,Gaiši bruna,2012,1,VOLKSWAGEN,TOURAN,Diesel,1,1,142.29,42.69,265.5,14000,0.846575342,2013
4325,LV,Passenger car,Regular,77,2250,Gaiši bruna,2012,0,VOLKSWAGEN,TOURAN,Diesel,0,1,213.43,71.14,339.5,17700,0.778082192,2012
4326,LV,Passenger car,Regular,77,2250,Bruna,2013,1,VOLKSWAGEN,TOURAN,Diesel,1,1,140,40,146.6,18550,0.926027397,2014
4327,LV,Passenger car,Regular,77,2250,Bruna,2013,0,VOLKSWAGEN,TOURAN,Diesel,0,1,142.29,42.69,390.4,23430,0.980821918,2013
